matchNum	line		round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	x	y	rating	ewp	utr		ita	teamId	tickerName	id
503	2		32	5/24/2021			DUKE	Chen	Kelly Chen	6		6								2		◀		95.41	19%	10.53	49	55		Kelly Chen	396686
504	1		32	5/24/2021		9	MIA	Pfennig	Isabella Pfennig	6		2		3						1				94.37	50%	10.58	10	56		Isabella Pfennig	564946
504	2		32	5/24/2021			VANDY	Rosca	Christina Rosca	2		6		6						2		◀		94.34	50%	10.63	43	53		Christina Rosca	446912
505	1		32	5/24/2021		3	UVA	Navarro	Emma Navarro	1		7		6						2		◀		99.39	93%	11.35	3	2		Emma Navarro	564450
505	2		32	5/24/2021			AZST	Hattingh	Ilze Hattingh	6		5		0						1				94.94	7%	10.29	78	62		Ilze Hattingh	414211
506	1		32	5/24/2021		9	FUR	Kozarov	Katarina Kozarov	5		4								0				97.75	74%	10.65	16	7		Katarina Kozarov	423350
506	2		32	5/24/2021			UGA	Kowalski	Meg Kowalski	7		6								2		◀		95.90	26%	10.76	20	27		Meg Kowalski	487384
507	1		32	5/24/2021			AUB	Ovunc	Selin Ovunc	3		7		6						2		◀		94.31	55%	10.27	61	68		Selin Ovunc	514698
507	2		32	5/24/2021			MIZZ	Murgett	Bronte Murgett	6		5		2						1				94.00	45%	10.46	47	81		Bronte Murgett	526971
508	1		32	5/24/2021		9	IOWA	Noel	Alexa Noel	6		3		5						1				99.92	97%	10.93	14	5		Alexa Noel	564451
508	2		32	5/24/2021			LSU	Corley	Paris Corley	1		6		7						2		◀		93.70	3%		60	64		Paris Corley	486238
509	1		32	5/24/2021			WAKE	Campana	Anna Campana	5		2								0				92.74	12%	9.97	54	165		Anna Campana	509929
509	2		32	5/24/2021			OKST	Thamchaiwat	Bunyawi Thamchaiwat	7		6								2		◀		96.18	88%	10.92	26	24		Bunyawi Thamchaiwat	497414
510	1		32	5/24/2021			UMD	Akli	Ayana Akli	2		6		4						1				98.24	66%	10.89	46	8		Ayana Akli	514025
510	2		32	5/24/2021		6	NCST	Rogers	Anna Rogers	6		4		6						2		◀		97.09	34%	10.84	6	19		Anna Rogers	446522
511	1		32	5/24/2021			DUKE	Drummy	Georgia Drummy	6		6								2		◀		95.64	38%	10.81	19	42		Georgia Drummy	564359
511	2		32	5/24/2021			MICH	Miller	Kari Miller	2		4								0				96.51	62%	10.76	57	30		Kari Miller	564380
512	1		32	5/24/2021			ORE	Tjen	Janice Tjen	6		6								2		◀		97.82	25%	10.70	17	11		Janice Tjen	565743
512	2		32	5/24/2021		4	UGA	Jokic	Katarina Jokic	1		4								0				99.69	75%	11.29	4	3		Katarina Jokic	419539
513	1		32	5/24/2021			SCAR	Horvit	Mia Horvit	7	7	4		4						1				95.29	73%	10.67	30	61		Mia Horvit	416702
513	2		32	5/24/2021			MSST	Antonaki	Emma Antonaki	6	2	6		6						2		◀		93.57	27%	10.23	33	71		Emma Antonaki	486811
514	1		32	5/24/2021			OSU	Siemers	Irina Cantos Siemers	3		4								0				97.23	17%	10.80	18	14		Irina Cantos Siemers	511553
514	2		32	5/24/2021		7	UCLA	Forbes	Abigail Forbes	6		6								2		◀		100.00	83%	11.21	7	4		Abigail Forbes	512054
515	1		32	5/24/2021			UNC	Graham	Alexa Graham	6	6	6		6						2		◀		97.80	77%	11.07	41	13		Alexa Graham	411298
515	2		32	5/24/2021		9	UVA	Subhash	Natasha Subhash	7	8	0		1						1				95.73	23%	10.76	9	37		Natasha Subhash	511574
516	1		32	5/24/2021			TEX	Stearns	Peyton Stearns	2		4								0				96.48	19%	10.95	37	33		Peyton Stearns	562074
516	2		32	5/24/2021		2	MIA	Perez-Somarriba	Estela Perez-Somarriba	6		6								2		◀		98.97	81%	11.11	1	6		Estela Perez-Somarriba	440887
601	1		16	5/25/2021	12:00pm	1	UNC	Daavettila	Sara Daavettila															99.25	68%	10.96	2	1		Sara Daavettila	400079
601	2		16	5/25/2021	12:00pm		PEPP	Failla	Jessica Failla															97.91	32%	11.03	21	9		Jessica Failla	405704
602	1		16	5/25/2021	12:00pm		DUKE	Chen	Kelly Chen															95.41	65%	10.53	49	55		Kelly Chen	396686
602	2		16	5/25/2021	12:00pm		VANDY	Rosca	Christina Rosca															94.34	35%	10.63	43	53		Christina Rosca	446912
603	1		16	5/25/2021	12:00pm	3	UVA	Navarro	Emma Navarro															99.39	88%	11.35	3	2		Emma Navarro	564450
603	2		16	5/25/2021	12:00pm		UGA	Kowalski	Meg Kowalski															95.90	12%	10.76	20	27		Meg Kowalski	487384
604	1		16	5/25/2021	1:30pm		AUB	Ovunc	Selin Ovunc															94.31	59%	10.27	61	68		Selin Ovunc	514698
604	2		16	5/25/2021	1:30pm		LSU	Corley	Paris Corley															93.70	41%		60	64		Paris Corley	486238
605	1		16	5/25/2021	12:00pm		OKST	Thamchaiwat	Bunyawi Thamchaiwat															96.18	37%	10.92	26	24		Bunyawi Thamchaiwat	497414
605	2		16	5/25/2021	12:00pm	6	NCST	Rogers	Anna Rogers															97.09	63%	10.84	6	19		Anna Rogers	446522
606	1		16	5/25/2021	1:30pm		DUKE	Drummy	Georgia Drummy															95.64	22%	10.81	19	42		Georgia Drummy	564359
606	2		16	5/25/2021	1:30pm		ORE	Tjen	Janice Tjen															97.82	78%	10.70	17	11		Janice Tjen	565743
607	1		16	5/25/2021	12:00pm		MSST	Antonaki	Emma Antonaki															93.57	2%	10.23	33	71		Emma Antonaki	486811
607	2		16	5/25/2021	12:00pm	7	UCLA	Forbes	Abigail Forbes															100.00	98%	11.21	7	4		Abigail Forbes	512054
608	1		16	5/25/2021	1:30pm		UNC	Graham	Alexa Graham															97.80	34%	11.07	41	13		Alexa Graham	411298
608	2		16	5/25/2021	1:30pm	2	MIA	Perez-Somarriba	Estela Perez-Somarriba															98.97	66%	11.11	1	6		Estela Perez-Somarriba	440887
701	1		QF	5/26/2021																											
701	2		QF	5/26/2021																											
702	1		QF	5/26/2021																											
702	2		QF	5/26/2021																											
703	1		QF	5/26/2021																											
703	2		QF	5/26/2021																											
704	1		QF	5/26/2021																											
704	2		QF	5/26/2021																											
801	1		SF	5/27/2021																											
801	2		SF	5/27/2021																											
802	1		SF	5/27/2021																											
802	2		SF	5/27/2021																											
901	1		F	5/28/2021																											
901	2		F	5/28/2021																											
																															
