seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 7	TCU  	Sander Jong                         	11	 8	 63	93.628	 64	 95.213	 72	 95.241	 54	8.076	 67	13.27	 63	11.434	489298	331526	1243900
 7	TCU  	Jacob Fearnley                      	16	 5	 75	92.317	 69	 95.031	 94	 94.617	 57	8.063	 71	13.25	102	 5.675	514378	331396	 235420
 7	TCU  	Tomas Jirousek                      	 9	 5	104	89.345	115	 93.698	126	 93.967	 88	7.852	121	13.06	 89	 6.976	521012	331525	 192737
 7	TCU  	Juan Martin                         	14	 6	169	82.782	189	 91.956	260	 91.297	130	7.530	103	13.13	230	 2.500	489299	331395	2683294
 7	TCU  	Bertus Kruger                       	 2	 2	240	75.731	195	 91.829	241	 91.695	226	7.132	175	12.88	   	      	423670	332559	 163418
 7	TCU  	Tadeas Paroulek                     	10	12	252	74.476	239	 91.091	220	 92.059	229	7.108	204	12.79	441	 1.355	516558	331531	1711965
 7	TCU  	Eduardo Roldan                      	 5	 4	329	67.666	309	 89.623	291	 90.632	310	6.738	321	12.44	395	 1.613	446658	331393	 264338
 7	TCU  	Max Kurzban                         	 2	10	498	53.151	493	 84.855	469	 86.889	513	5.592	420	12.11	   	      	424063	331391	1906387
 8	A&M  	Valentin Vacherot                   	22	 5	  7	99.254	  6	 98.705	 11	 98.470	  7	8.860	 10	13.73	  5	51.307	459505	331204	 167756
 8	A&M  	Hady Habib                          	18	 5	  9	98.892	 21	 97.415	 17	 97.734	 12	8.687	 13	13.65	  3	54.574	412687	331179	1233129
 8	A&M  	Juan Carlos Aguilar                 	15	10	 56	94.152	 73	 94.826	 80	 95.110	 64	7.997	 61	13.29	 30	23.979	384588	331180	2085752
 8	A&M  	Barnaby Smith                       	 9	 2	 94	90.445	113	 93.720	116	 94.153	 78	7.942	 95	13.16	 82	 7.937	452706	331208	 149471
 8	A&M  	Noah Schachter                      	21	15	132	86.816	132	 93.262	144	 93.481	142	7.487	157	12.92	 94	 6.576	485543	331182	 205635
 8	A&M  	Pierce Rollins                      	16	10	150	84.844	152	 92.921	189	 92.572	152	7.429	168	12.90	109	 5.085	513401	331178	  85372
 8	A&M  	Guido Marson                        	 8	 8	230	76.657	209	 91.561	229	 91.933	204	7.230	204	12.79	348	 1.858	485531	331193	 169634
 8	A&M  	Raphael Perot                       	16	10	231	76.503	219	 91.433	248	 91.599	188	7.281	210	12.78	334	 1.918	562734	331185	 273214
