seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
R2	USF  	16	 9	 33	67.050	34	 90.689	32	 92.976	32	7.487	37	76.51	31	26.037	  	   	33
R2	ND   	14	10	 39	63.136	42	 89.571	40	 91.964	36	7.362	38	76.38	34	25.295	  	   	37
R3	MICH 	15	 4	 18	82.572	12	 95.884	13	 96.424	14	8.222	18	78.65	45	14.687	12	199	23
R3	VT   	12	 9	 32	68.496	29	 91.089	30	 93.023	33	7.475	34	76.77	29	28.222	  	   	34
R3	DUKE 	12	10	 34	66.768	36	 90.548	31	 92.997	34	7.392	32	76.86	32	25.716	  	   	36
R3	VCU  	17	 4	 35	65.283	38	 90.232	36	 92.402	35	7.383	29	77.07	36	24.271	  	   	38
R3	NW   	13	 7	 36	64.945	32	 90.901	33	 92.885	31	7.498	27	77.56	50	 7.820	  	   	46
R3	WICH 	15	 8	 37	64.026	37	 90.310	39	 92.047	41	7.283	39	75.93	33	25.336	  	   	32
R3	ORE  	16	 6	 38	63.476	41	 89.696	44	 91.521	30	7.515	33	76.78	37	23.364	  	   	41
R3	MEM  	 9	 8	 40	61.341	40	 89.858	41	 91.895	43	7.047	43	75.40	38	22.098	  	   	35
R3	MIA  	 8	10	 41	61.310	43	 89.490	37	 92.186	38	7.314	40	75.68	39	19.492	  	   	43
R3	LSU  	12	12	 42	60.773	39	 90.144	38	 92.165	46	6.776	42	75.44	40	19.168	  	   	39
R3	DEN  	16	 3	 43	59.997	35	 90.565	42	 91.672	40	7.308	45	74.43	44	17.044	  	   	44
R3	MTSU 	17	 7	 44	58.938	45	 89.051	45	 91.280	42	7.208	41	75.54	42	18.524	  	   	42
R3	WMU  	22	 1	 46	57.508	46	 88.711	46	 89.827	44	7.018	52	72.95	41	18.644	RV	  1	45
R3	FGCU 	 9	 6	 49	53.923	49	 85.244	48	 87.658	52	6.420	51	73.58	47	 8.375	  	   	  
R3	UCSB 	10	 5	 50	53.791	50	 84.297	50	 87.562	51	6.483	46	74.20	51	 7.765	  	   	  
R3	NAVY 	 9	 0	 53	52.277	47	 87.450	53	 86.711	55	5.799	57	70.91	48	 8.275	  	   	  
R4	ARK  	10	14	 45	58.159	44	 89.427	43	 91.551	49	6.641	44	75.30	43	18.298	  	   	40
R4	UNCW 	15	 5	 47	55.380	48	 86.189	47	 88.868	48	6.702	47	74.00	46	 9.796	  	   	  
R4	SALA 	12	 7	 48	54.084	51	 84.257	49	 87.642	45	6.787	48	73.92	53	 6.682	  	   	  
R4	ETSU 	13	 7	 51	53.377	52	 84.021	51	 87.298	50	6.558	49	73.91	49	 7.902	  	   	  
R4	UNM  	 8	 9	 52	53.001	53	 83.452	52	 87.221	47	6.709	50	73.79	52	 7.373	  	   	  
R4	CLEV 	18	 4	 54	50.618	55	 81.283	55	 84.355	54	5.830	53	71.52	55	 4.929	  	   	  
R4	DEP  	15	 5	 55	50.381	54	 82.453	54	 85.738	53	5.938	59	70.67	54	 5.565	  	   	  
R4	BEL  	 9	 4	 56	49.453	57	 79.145	56	 83.100	56	5.771	56	70.99	56	 4.476	  	   	  
R4	TAMCC	19	 4	 57	48.591	60	 76.910	59	 82.181	57	5.689	53	71.52	59	 2.974	  	   	  
R4	NAU  	 8	 8	 58	48.052	59	 77.787	57	 82.402	58	5.532	58	70.85	60	 2.430	  	   	  
R4	MONM 	14	 2	 59	47.938	56	 79.787	60	 82.179	59	5.304	61	69.61	57	 4.412	  	   	  
R4	PRES 	11	 6	 60	47.798	58	 77.901	58	 82.258	60	5.230	60	70.28	58	 3.972	  	   	  
R4	GCU  	 8	12	 61	47.069	61	 76.830	61	 81.822	61	5.207	55	71.32	62	 1.717	  	   	  
R4	SCST 	 2	 4	 62	45.532	62	 76.543	62	 81.189	62	4.866	62	66.99	64	 0.724	  	   	  
R4	FDU  	 6	 4	 63	45.161	64	 65.174	64	 72.332	63	3.982	63	65.74	61	 1.953	  	   	  
R4	AAMU 	 6	 6	 64	44.908	63	 72.428	63	 76.008	64	3.711	64	63.25	63	 1.605	  	   	  
