seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
R3	BAMA 	12	13	 44	58.780	44	 80.235	44	 85.516	46	6.388	40	58.87	43	16.420	  	   	40
R3	UNF  	17	 8	 46	57.263	45	 79.754	45	 85.213	44	6.460	41	58.70	48	 8.000	  	   	  
R3	JMU  	14	 4	 47	56.138	47	 78.416	47	 84.092	45	6.407	46	56.82	46	 8.762	  	   	  
R3	XAV  	17	 4	 50	53.105	50	 74.697	49	 80.581	51	5.604	48	55.53	56	 3.604	  	   	  
R3	BALL 	22	 4	 53	52.011	52	 73.314	52	 79.269	53	5.385	51	54.36	54	 3.743	  	   	  
R4	DEN  	14	 4	 45	57.375	46	 79.026	46	 84.873	43	6.583	44	58.11	45	11.752	  	   	43
R4	VCU  	14	10	 48	54.922	48	 76.336	48	 82.057	48	6.024	47	55.89	49	 6.427	  	   	  
R4	SJSU 	15	 2	 49	54.391	49	 76.192	50	 80.132	49	5.880	49	55.37	47	 8.043	  	   	  
R4	BU   	 9	 2	 51	52.419	51	 74.140	54	 78.587	54	5.266	50	55.27	50	 6.133	  	   	  
R4	NAU  	14	 5	 52	52.277	53	 71.998	51	 79.721	50	5.612	53	53.39	53	 3.850	  	   	  
R4	TAMCC	21	 5	 54	51.105	55	 70.569	55	 78.437	52	5.502	52	54.20	55	 3.613	  	   	  
R4	GASO 	19	 9	 55	51.101	54	 71.680	53	 78.784	55	5.192	55	52.26	52	 4.077	  	   	  
R4	PEAY 	12	 4	 56	49.806	56	 70.286	56	 77.207	56	4.991	54	52.43	57	 3.322	  	   	  
R4	UIC  	17	 6	 57	48.271	59	 68.000	57	 76.328	58	4.727	58	51.70	59	 2.440	  	   	  
R4	CHSO 	10	 8	 58	48.159	57	 68.646	60	 75.536	61	4.429	56	52.02	58	 2.773	  	   	  
R4	LIU  	 9	 1	 59	47.976	61	 64.359	61	 71.859	60	4.429	61	49.93	51	 4.200	  	   	  
R4	GCU  	10	 9	 60	47.907	60	 67.182	58	 75.987	57	4.908	57	51.99	62	 2.012	  	   	  
R4	DRKE 	11	 9	 61	47.397	58	 68.395	59	 75.901	59	4.675	59	50.98	63	 1.976	  	   	  
R4	SCST 	 6	 5	 62	45.885	62	 61.645	62	 70.632	62	3.723	60	50.40	64	 1.848	  	   	  
R4	ALST 	 9	 7	 63	45.631	63	 61.414	63	 69.747	63	3.568	62	46.68	61	 2.286	  	   	  
R4	SIEN 	 7	 4	 64	45.267	64	 53.154	64	 65.534	64	3.202	63	45.67	60	 2.407	  	   	  
