line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
9	9	UCF  	D	3	ALAN RUBIO               	KENTO YAMADA             					2	4							2	4	2	4
9	9	UCF  	D	4	MIKHAIL SOKOLOVSKIY      	QUINN SNYDER             													0	0	0	0
56	10	WAKE 	S	1	Henri Squire             	                         	15	6											15	6	15	6
56	10	WAKE 	S	2	Eduardo Nava             	                         	2	0	6	3	9	1							17	4	17	4
56	10	WAKE 	S	3	Taha Baadi               	                         	1	1	6	5	6	2							13	8	13	8
56	10	WAKE 	S	4	Rrezart Cungu            	                         	1	0	2	0	2	0	7	3	2	1	6	0	20	4	20	4
56	10	WAKE 	S	5	Melios Efstathiou        	                         	1	0			2	2	2	2	6	2	1	0	12	6	12	6
56	10	WAKE 	S	6	Sid Banthia              	                         	3	0	2	0	1	1	1	1	5	0	7	1	19	3	19	3
56	10	WAKE 	S	7	Filippo Moroni           	                         			1	0	3	1	2	2	0	1	4	0	10	4	10	4
56	10	WAKE 	S	8	Robert Maciag            	                         			2	0			5	2	2	1	2	0	11	3	11	3
56	10	WAKE 	S	9	Adam Ambrozy             	                         			2	0	1	0	2	0	5	1	1	0	11	1	11	1
56	10	WAKE 	S	10	Luciano Tacchi           	                         							1	0	3	0	3	0	7	0	7	0
56	10	WAKE 	S	11	Matt Thomson             	                         							1	0	1	0	3	0	5	0	5	0
56	10	WAKE 	S	12	Juan Lopez               	                         											2	0	2	0	2	0
56	10	WAKE 	S	13	Yuval Solomon            	                         													0	0	0	0
56	10	WAKE 	D	1	Nava                     	Squire                   	13	5											13	5	13	5
56	10	WAKE 	D	2	Thomson                  	Banthia                  	5	1	7	4	5	1							17	6	17	6
56	10	WAKE 	D	3	Efstathiou               	Baadi                    			4	1	8	4							12	5	12	5
56	10	WAKE 	D	4	Ambrozy                  	Maciag                   			4	0	1	0							5	0	5	0
41	11	UGA  	S	1	Trent Bryde              	                         	9	10											9	10	14	13
41	11	UGA  	S	2	Tyler Zink               	                         	1	0	6	5	2	0							9	5	11	9
41	11	UGA  	S	3	Philip Henning           	                         			2	2	11	4							13	6	18	10
41	11	UGA  	S	4	Blake Croyder            	                         			1	0	0	1	10	2	0	2			11	5	15	12
41	11	UGA  	S	5	Billy Rowe               	                         					1	0	1	3	8	4	2	0	12	7	16	10
41	11	UGA  	S	6	Erik Grevelius           	                         							0	1	2	0	7	3	9	4	15	8
41	11	UGA  	S	7	Baptiste Anselmo         	                         							2	0	1	3	1	0	4	3	8	9
41	11	UGA  	S	8	Britton Johnston         	                         											2	1	2	1	4	8
41	11	UGA  	S	9	Alex Diaz                	                         													0	0	0	0
41	11	UGA  	S	10	Thomas Paulsell          	                         													0	0	0	0
41	11	UGA  	D	1	Trent Bryde              	Tyler Zink               	8	4											8	4	13	6
41	11	UGA  	D	2	Blake Croyder            	Billy Rowe               			7	5	1	0							8	5	10	5
41	11	UGA  	D	3	Philip Henning           	Erik Grevelius           			1	0	9	5							10	5	10	7
41	11	UGA  	D	4	Baptiste Anselmo         	Britton Johnston         													0	0	4	2
24	12	USC  	S	1	Daniel Cukierman         	                         	12	5											12	5	14	5
24	12	USC  	S	2	Riley Smith              	                         	4	0	9	5									13	5	15	5
24	12	USC  	S	3	Stefan Dostanic          	                         			4	0	12	3							16	3	18	3
24	12	USC  	S	4	Bradley Frye             	                         			2	0	2	0	9	2	2	1	0	1	15	4	17	4
24	12	USC  	S	5	Lodewijk Weststrate      	                         					1	0	7	1	9	3	4	0	21	4	23	4
24	12	USC  	S	6	Jake Sands               	                         							1	0	5	1	8	3	14	4	14	4
24	12	USC  	S	7	Ryder Jackson            	                         							0	2	1	0	2	0	3	2	5	2
24	12	USC  	S	8	Colter Smith             	                         											4	0	4	0	6	0
24	12	USC  	S	9	Sean Holt                	                         									1	0	0	2	1	2	1	2
24	12	USC  	D	1	Daniel Cukierman         	Riley Smith              	17	3											17	3	18	3
24	12	USC  	D	2	Stefan Dostanic          	Bradley Frye             			13	1									13	1	13	1
24	12	USC  	D	3	Sean Holt                	Jake Sands               													0	0	0	0
24	12	USC  	D	4	Ryder Jackson            	Lodewijk Weststrate      					1	3							1	3	1	4
25	13	SCAR 	S	1	Daniel Rodrigues         	                         	16	4											16	4	24	6
25	13	SCAR 	S	2	Connor Thomson           	                         			6	5	5	3							11	8	18	12
25	13	SCAR 	S	3	Toby Samuel              	                         					4	2	12	2					16	4	24	7
25	13	SCAR 	S	4	Raphael Lambling         	                         	1	0	2	7	3	3	0	2					6	12	11	18
25	13	SCAR 	S	5	Jake Beasley             	                         									7	7	5	1	12	8	18	10
25	13	SCAR 	S	6	Thomas Brown             	                         			1	0							2	2	3	2	11	6
25	13	SCAR 	S	7	Phillip Jordan           	                         					0	2	2	0	3	3	1	4	6	9	11	16
25	13	SCAR 	S	8	Bruno Oliveira           	                         							0	1			0	1	0	2	0	2
25	13	SCAR 	S	9	Beau Pelletier           	                         											2	1	2	1	7	6
25	13	SCAR 	S	10	Carter Morgan            	                         									0	1			0	1	2	7
25	13	SCAR 	D	1	Daniel Rodrigues         	Connor Thomson           	13	7											13	7	20	11
25	13	SCAR 	D	2	Jake Beasley             	Toby Samuel              			9	3	6	4							15	7	23	11
25	13	SCAR 	D	3	Raphael Lambling         	Phillip Jordan           			2	4	4	3							6	7	14	10
25	13	SCAR 	D	4	Bruno Oliveira           	Thomas Brown             													0	0	0	0
40	14	UK   	S	1	Liam Draxl               	                         	19	2											19	2	19	2
40	14	UK   	S	2	Gabriel Diallo           	                         			12	5	1	1	1	0					14	6	19	7
40	14	UK   	S	3	Millen Hurrion           	                         			4	1	10	3							14	4	17	7
40	14	UK   	S	4	Cesar Bourgois           	                         			1	0	1	0	9	6	3	0			14	6	14	6
40	14	UK   	S	5	Joshua Lapadat           	                         					2	2	0	4	3	3	1	0	6	9	11	10
40	14	UK   	S	6	Alexandre LeBlanc        	                         							1	0	1	0	2	4	4	4	5	9
40	14	UK   	S	7	Yasha Zemel              	                         							2	0	4	4	1	2	7	6	7	6
40	14	UK   	S	8	Mathis Moysan            	                         					1	0			1	0	2	3	4	3	4	3
40	14	UK   	S	9	Jonathan Sorbo           	                         									1	0	2	0	3	0	4	4
40	14	UK   	S	10	Ying-Ze Chen             	                         													0	0	1	5
40	14	UK   	S	11	Tate Sandman             	                         													0	0	1	4
40	14	UK   	S	12	Heman Nama               	                         											1	0	1	0	2	4
40	14	UK   	D	1	Gabriel Diallo           	Cesar Bourgois           	14	7											14	7	14	7
40	14	UK   	D	2	Liam Draxl               	Millen Hurrion           			6	2									6	2	6	2
40	14	UK   	D	3	Joshua Lapadat           	Alexandre LeBlanc        					4	2							4	2	4	4
40	14	UK   	D	4	Yasha Zemel              	Ying-Ze Chen             					0	2							0	2	0	2
57	15	MISS 	S	1	Tim Sandkaulen           	                         	1	7	7	5									8	12	13	16
57	15	MISS 	S	2	Finn Reynolds            	                         	4	9	6	1									10	10	10	10
57	15	MISS 	S	3	Nikola Slavic            	                         			1	0	12	7							13	7	13	7
57	15	MISS 	S	4	John Hallquist Lithen    	                         					1	0	5	6	6	1			12	7	12	7
57	15	MISS 	S	5	Simon Junk               	                         							5	4	2	6	2	1	9	11	9	14
57	15	MISS 	S	6	Lukas Engelhardt         	                         									0	3	3	4	3	7	3	7
57	15	MISS 	S	7	Jakob Cadonau            	                         									0	1	3	3	3	4	3	4
57	15	MISS 	S	8	Jan Soren Hain           	                         									0	1	1	1	1	2	1	8
57	15	MISS 	S	9	Brady Draheim            	                         													0	0	2	7
57	15	MISS 	D	1	Tim Sandkaulen           	Finn Reynolds            	14	2											14	2	14	2
57	15	MISS 	D	2	Brady Draheim            	Simon Junk               			8	7	3	2							11	9	11	9
57	15	MISS 	D	3	Jakob Cadonau            	Lukas Engelhardt         													0	0	0	0
57	15	MISS 	D	4	Nikola Slavic            	Jan Soren Hain           													0	0	0	0
8	16	ILL  	S	1	Aleks Kovacevic          	                         	10	1											10	1	10	1
8	16	ILL  	S	2	Siphosothando Montsi     	                         	6	1	7	2	2	0							15	3	15	3
8	16	ILL  	S	3	Alex Brown               	                         	0	2	5	5	3	2							8	9	9	12
8	16	ILL  	S	4	Zeke Clark               	                         					10	0	6	1					16	1	19	2
8	16	ILL  	S	5	Hunter Heck              	                         							3	0	9	4	1	1	13	5	16	6
8	16	ILL  	S	6	Noe Khlif                	                         							8	0	2	1	5	0	15	1	15	1
8	16	ILL  	S	7	Kweisi Kenyatte          	                         							0	1	2	1	4	4	6	6	7	9
8	16	ILL  	S	8	Lucas Horve              	                         											3	1	3	1	4	3
8	16	ILL  	S	9	Nic Meister              	                         													0	0	0	0
8	16	ILL  	S	10	Vuk Budic                	                         													0	0	0	0
8	16	ILL  	S	11	Alex Petrov              	                         													0	0	0	0
8	16	ILL  	D	1	Alex Brown               	Zeke Clark               	8	2	3	0									11	2	11	2
8	16	ILL  	D	2	Siphosothando Montsi     	Noe Khlif                			5	1	5	1							10	2	10	2
8	16	ILL  	D	3	Aleks Kovacevic          	Hunter Heck              			1	0	2	1							3	1	3	1
