seed	team	name
  	ISU  	Ellie Murphy
  	ISU  	Maty Cancini
  	ISU  	Miska Kadleckova
  	ISU  	Sofia Cabezas
  	ISU  	Thasaporn Naklo
  	ISU  	Ting-Pei Chang
  	JMU  	Alexis Franco
  	JMU  	Amanda Nord
  	JMU  	Daniela Voloh
  	JMU  	Daria Afanasyeva
  	JMU  	Jona Roka
  	JMU  	Kylie Moulin
  	JMU  	Michelle Los Arcos
  	JMU  	Natalia Nikolopoulou
  	JMU  	Paige Duncan
  	JMU  	Shannon McCarthy
  	LIU  	Bianca Compuesto
  	LIU  	Ekaterine Jorjoliani
  	LIU  	Elinor Storkaas
  	LIU  	Jasmine Maduel
  	LIU  	Phoebe Watton
  	LIU  	Sofiya Kuzina
  	LIU  	Valentina Dancenco
  	LIU  	Victoria Erechtchenko
  	MIA  	Daevenia Achong
  	MIA  	Diana Khodan
  	MIA  	Estela Perez-Somarriba
  	MIA  	Florencia Urrutia
  	MIA  	Isabella Pfennig
  	MIA  	Maya Tahan
  	MIA  	n/a
  	MIA  	Nada Dimovska
  	MICH 	Alvyia Jones
  	MICH 	Alyvia Jones
  	MICH 	Anca Craciun
  	MICH 	Andrea Cerdan
  	MICH 	Bella Lorenzini
  	MICH 	Chiara Lommer
  	MICH 	Jaedan Brown
  	MICH 	Kari Miller
  	MICH 	Merri Kelly
  	MICH 	Nicole Hammond
  	MISS 	Alexa Bortles
  	MISS 	Anna Vrbenska
  	MISS 	Elysia Pool
  	MISS 	Kelsey Mize
  	MISS 	Lillian Gabrielsen
  	MISS 	Reka Zadori
  	MISS 	Sabina Machalova
  	MISS 	Tereza Janatova
  	MISS 	Tiphanie Fiquet
  	MSST 	Alex Mikhailuk
  	MSST 	Chloe Cirotte
  	MSST 	Emma Antonaki
  	MSST 	Lilian Poling
  	MSST 	Magda Adaloglou
  	MSST 	Marta Falceto
  	MSST 	Tamara Racine
  	MSST 	Valeria Nikolaev
  	NAU  	Ava Neyestani
  	NAU  	Eleanor Millard
  	NAU  	Elinor Beazley
  	NAU  	Emily Bland
  	NAU  	Gina Dittmann
  	NAU  	Madison Moore
  	NW   	Briana Crowley
  	NW   	Caroline Pozo
  	NW   	Christina Hand
  	NW   	Clarissa Hand
  	NW   	Hannah McColgan
  	NW   	Julie Byrne
  	NW   	Maria Shusharina
  	NW   	Vanesa Streng
  	NW   	Vanessa Streng
  	ODU  	Alesya Yakubovich
  	ODU  	Alexandra Viktorovich
  	ODU  	Brooke Pilkington
  	ODU  	Holly Hutchinson
  	ODU  	Shahar Biran
  	ODU  	Tatsiana Sasnouskaya
  	ODU  	Yulia Starodubtseva
  	OKLA 	Camila Romero
  	OKLA 	Carmen Corley
  	OKLA 	Dana Guzman
  	OKLA 	Ivana Corley
  	OKLA 	Kianah Motosono
  	OKLA 	Marcelina Podlinska
  	OKLA 	Martina Capurro
  	OKST 	Alana Wolfberg
  	OKST 	Ayumi Miyamoto
