seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
16	CAL  	Cami Brown                   	 1	 2	564964	      	 100772	  		  
16	CAL  	Erin Richardson              	 3	 3	513642	337321	 219057	  		  
16	CAL  	Haley Giavara                	12	11	513644	337618	  96498	AL		18
16	CAL  	Hannah Viller Moeller        	16	 7	564963	337317	1971220	  		  
16	CAL  	Jada Bui                     	11	 6	564962	337315	1551744	  		  
16	CAL  	Julia Rosenqvist             	14	 8	447001	337313	2558835	  		  
16	CAL  	Valentina Ivanov             	11	 8	513643	337312	2137952	  		  
R2	AUB  	Adeline Flach                	15	11	561548	336934	 100267	  		  
R2	AUB  	Anastasia Astakhova          	 2	 6	561546	340826	1307511	  		  
R2	AUB  	Carolyn Ansari               	16	10	514700	336753	 252050	  		  
R2	AUB  	Georgie Axon                 	23	 7	387150	336731	 365692	  		  
R2	AUB  	Selin Ovunc                  	13	10	514698	336735	1551752	AL		26
R2	AUB  	Shir Azran                   	 2	 7	561547	336739	  55431	  		  
R2	AUB  	Taylor Russo                 	12	 4	447736	336741	1970275	  		  
R2	AUB  	Yu Chen                      	12	15	497768	336733	1635589	  		  
R2	AZST 	Cali Jankowski               	 6	 2	489644	337024	1252161	  		  
R2	AZST 	Domenika Turkovic            	10	 7	563706	337027	 203602	  		  
R2	AZST 	Giulia Morlet                	10	 6	564468	337031	 244395	  		  
R2	AZST 	Ilze Hattingh                	12	 7	414211	337025	  28184	AL		19
R2	AZST 	Lauryn John-Baptiste         	11	 6	419134	337637	2557956	  		  
R2	AZST 	Marianna Argyrokastriti      	15	 6	563705	337029	 281845	  		  
R2	AZST 	Sammi Hampton                	 7	 8	413324	337524	1887484	  		  
R2	AZST 	Sasa Klanecek                	 1	 0	422319	      	  75262	  		  
R2	AZST 	Tereza Kolarova              	 4	 2	422893	337023	  68994	  		  
R2	DUKE 	Chloe Beck                   	18	 4	514741	336991	  95651	AL		55
R2	DUKE 	Ema Lazic                    	 2	 3	425392	336996	 403434	  		  
R2	DUKE 	Georgia Drummy               	18	 4	564359	336987	 114630	AL		41
R2	DUKE 	Hannah Zhao                  	 2	 7	466192	337000	 226125	  		  
R2	DUKE 	Karolina Berankova           	10	12	564360	336986	 182570	  		  
R2	DUKE 	Kelly Chen                   	11	11	396686	336995	  50623	AL		11
R2	DUKE 	Margaryta Bilokin            	14	10	497015	336989	 179984	  		  
R2	DUKE 	Meible Chi                   	22	 3	396854	336994	 926491	ALT		  
R2	MIA  	Daevenia Achong              	 7	11	496485	337808	1712029	  		  
R2	MIA  	Diana Khodan                 	13	 7	521317	337449	 260989	  		  
R2	MIA  	Estela Perez-Somarriba       	19	 2	440887	337439	 150205	AL		64
