seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
 5	PEPP 	Astrid Olsen               	S	 9	  	  	  	 	  	  	  	  	  	 	5 	1	 5	 1	 5	 1	514453	      
 5	PEPP 	Lahey/Zaar                 	D	 1	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	424436	514467
 5	PEPP 	Fukuda/Pachkaleva          	D	 2	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	564446	564448
 5	PEPP 	Failla/Iamachkine          	D	 3	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	405704	      
 5	PEPP 	Olsen/Redelijk             	D	 4	  	  	 0	4	1 	0 	  	  	  	 	  	 	 1	 4	 1	 4	514453	565228
 6	NCST 	Anna Rogers                	S	 1	14	 6	  	 	  	  	  	  	  	 	  	 	14	 6	19	 6	446522	      
 6	NCST 	Alana Smith                	S	 2	  	  	14	5	  	  	  	  	  	 	  	 	14	 5	16	 8	486136	      
 6	NCST 	Adriana Reami              	S	 3	 1	 0	  	 	12	4 	2 	1 	  	 	  	 	15	 5	16	 9	444430	      
 6	NCST 	Jaeda Daniel               	S	 4	  	  	 1	0	0 	2 	10	6 	  	 	  	 	11	 8	13	10	511267	      
 6	NCST 	Abigail Rencheli           	S	 5	  	  	  	 	  	  	  	  	5 	2	5 	2	10	 4	13	 5	564363	      
 6	NCST 	Lexi Keberle               	S	 6	  	  	  	 	1 	0 	  	  	10	2	2 	4	13	 6	16	 8	511268	      
 6	NCST 	Millie Rajecki             	S	 7	  	  	  	 	  	  	  	  	1 	0	3 	2	 4	 2	 6	 5	564362	      
 6	NCST 	Lana Mavor                 	S	 8	  	  	  	 	  	  	1 	0 	  	 	1 	0	 2	 0	 6	 0	510773	      
 6	NCST 	Liz Norman                 	S	 9	  	  	  	 	  	  	  	  	  	 	1 	0	 1	 0	 3	 1	486138	      
 6	NCST 	Rogers/Smith               	D	 1	14	 5	  	 	  	  	  	  	  	 	  	 	14	 5	20	 8	446522	486136
 6	NCST 	Daniel/Reami               	D	 2	  	  	12	4	  	  	  	  	  	 	  	 	12	 4	20	 5	511267	444430
 6	NCST 	Rajecki/Rencheli           	D	 3	  	  	  	 	11	1 	  	  	  	 	  	 	11	 1	12	 2	564362	564363
 6	NCST 	Keberle/Mavor              	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	511268	510773
 7	FSU  	Giulia Pairone             	S	 1	11	 8	  	 	  	  	  	  	  	 	  	 	11	 8	13	 8	564449	      
 7	FSU  	Emmanuelle Salas           	S	 2	 0	 1	 5	6	1 	0 	1 	2 	  	 	  	 	 7	 9	 7	10	485585	      
 7	FSU  	Nandini Das                	S	 3	  	  	 2	4	6 	4 	3 	0 	  	 	  	 	11	 8	12	 8	400527	      
 7	FSU  	Petra Hule                 	S	 4	  	  	 0	1	1 	1 	4 	0 	7 	1	  	 	12	 3	13	 3	417237	      
 7	FSU  	Victoria Allen             	S	 5	  	  	  	 	1 	0 	3 	4 	7 	0	  	 	11	 4	12	 5	511618	      
 7	FSU  	Anna Arkadianou            	S	 6	  	  	  	 	1 	4 	1 	0 	1 	0	  	 	 3	 4	 4	 5	564846	      
 7	FSU  	Andrea Garcia              	S	 7	  	  	  	 	  	  	0 	1 	2 	0	15	2	17	 3	19	 3	408876	      
 7	FSU  	Alice Amendola             	S	 8	  	  	  	 	  	  	  	  	  	 	1 	1	 1	 1	 2	 3	521176	      
 7	FSU  	Salas/Allen                	D	 1	 5	 3	  	 	  	  	  	  	  	 	  	 	 5	 3	 5	 3	485585	511618
 7	FSU  	Das/Garcia                 	D	 2	  	  	 8	4	6 	0 	  	  	  	 	  	 	14	 4	17	 4	400527	408876
 7	FSU  	Hule/Pairone               	D	 3	  	  	  	 	5 	1 	  	  	  	 	  	 	 5	 1	 6	 1	417237	564449
 7	FSU  	Arkadianou/Amendola        	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	564846	521176
 8	BAY  	Melany Krywoj              	S	 1	11	 6	  	 	  	  	  	  	  	 	  	 	11	 6	19	10	509796	      
 8	BAY  	Jessica Hinojosa           	S	 2	 3	 1	 7	6	2 	3 	  	  	  	 	  	 	12	10	18	15	415776	      
 8	BAY  	Alicia Herrero-Linana      	S	 3	 2	 2	 7	2	4 	4 	  	  	  	 	  	 	13	 8	20	13	509795	      
 8	BAY  	Angelina Shakhraichuk      	S	 4	  	  	  	 	6 	1 	6 	4 	2 	0	3 	0	17	 5	24	10	450932	      
 8	BAY  	Kristina Sorokolet         	S	 5	  	  	 1	0	2 	0 	0 	1 	4 	1	4 	1	11	 3	18	 5	453617	      
 8	BAY  	Paula Baranano             	S	 6	  	  	  	 	  	  	2 	0 	5 	1	5 	2	12	 3	12	 3	497948	      
 8	BAY  	Audrey Boch-Collins        	S	 7	  	  	  	 	  	  	  	  	3 	1	7 	1	10	 2	16	 3	562077	      
 8	BAY  	Sara Ziodato               	S	 8	  	  	  	 	  	  	1 	1 	1 	1	1 	0	 3	 2	 3	 2	564392	      
 8	BAY  	Hannah Pinto               	S	 9	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 1	 5	562076	      
 8	BAY  	Shakhraichuk/Krywoj        	D	 1	 9	 1	  	 	  	  	  	  	  	 	  	 	 9	 1	 9	 1	450932	509796
 8	BAY  	Hinojosa/Sorokolet         	D	 2	 0	 1	 1	4	1 	1 	  	  	  	 	  	 	 2	 6	 2	 6	415776	453617
 8	BAY  	Herrero/Boch-Collins       	D	 3	  	  	  	 	5 	0 	  	  	  	 	  	 	 5	 0	 5	 0	509795	562077
 8	BAY  	Baranano/Ziodato           	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	497948	564392
 9	UCF  	Valeriya Zeleva            	S	 1	 9	 2	 3	0	  	  	  	  	  	 	  	 	12	 2	13	 3	497367	      
 9	UCF  	Rebeka Stolmar             	S	 2	 4	 1	 7	4	1 	1 	  	  	  	 	  	 	12	 6	14	 7	455036	      
 9	UCF  	Evgeniya Levashova         	S	 3	 1	 1	 3	2	6 	2 	1 	0 	  	 	  	 	11	 5	11	 5	514393	      
 9	UCF  	Ksenia Kuznetsova          	S	 4	  	  	 1	1	2 	2 	6 	0 	2 	0	  	 	11	 3	11	 3	424148	      
