line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
8	16	CAL  	S	3	Valentina Ivanov         	                         	0	1	1	2	9	5							10	8	10	8
8	16	CAL  	S	4	Jada Bui                 	                         					2	1	8	5					10	6	10	6
8	16	CAL  	S	5	Hannah Viller Moeller    	                         					0	1	6	1	8	5			14	7	14	7
8	16	CAL  	S	6	Anna Bright              	                         							1	0	7	0	10	3	18	3	18	3
8	16	CAL  	S	7	Cami Brown               	                         											1	2	1	2	1	2
8	16	CAL  	S	8	Erin Richardson          	                         									0	1	3	2	3	3	3	3
8	16	CAL  	D	1	Haley Giavara            	Valentina Ivanov         	12	5											12	5	12	5
8	16	CAL  	D	2	Anna Bright              	Hannah Viller Moeller    			11	6									11	6	11	6
8	16	CAL  	D	3	Jada Bui                 	Erin Richardson          					2	2							2	2	2	2
8	16	CAL  	D	4	Julia Rosenqvist         	Cami Brown               													0	0	0	0
50		ALST 	S	1	Madalena Andrade         	                         	10	3											10	3	10	3
50		ALST 	S	2	Lizaveta Dzemchanka      	                         					2	0					1	0	3	0	3	0
50		ALST 	S	3	Urska Velec              	                         					3	1	5	1					8	2	8	2
50		ALST 	S	4	Francesca Duca           	                         					0	2	8	0	0	2			8	4	8	4
50		ALST 	S	5	Timothee Legaud          	                         									0	2	3	2	3	4	3	4
50		ALST 	S	6	Bea Acena                	                         					0	1	2	3	5	2			7	6	7	6
50		ALST 	S	7	Anja Hribljan            	                         			0	5									0	5	0	5
50		ALST 	S	8	Ana Tarbujaru            	                         							0	1	1	1	2	1	3	3	3	3
50		ALST 	D	1	Lizaveta Dzemchanka      	Ana Tarbujaru            	1	1											1	1	1	1
50		ALST 	D	2	Madalena Andrade         	Francesca Duca           			4	0	1	0							5	0	5	0
50		ALST 	D	3	Urska Velec              	Anja Hribljan            													0	0	0	0
50		ALST 	D	4	Bea Acena                	Timothee Legaud          													0	0	0	0
3		ARK  	S	1	Indianna Spink           	                         	6	4	3	1									9	5	9	5
3		ARK  	S	2	Kelly Keller             	                         	1	3	7	3									8	6	8	6
3		ARK  	S	3	Tatum Rice               	                         	1	0			8	7							9	7	9	7
3		ARK  	S	4	Morgan Cross             	                         			1	0			9	10					10	10	10	10
3		ARK  	S	5	Lauren Alter             	                         									5	5	1	4	6	9	6	9
3		ARK  	S	6	Laura Rijkers            	                         									0	8	7	0	7	8	7	8
3		ARK  	S	7	Jackie Carr              	                         											1	3	1	3	1	3
3		ARK  	S	8	Presley Southerland      	                         							1	0					1	0	1	0
3		ARK  	S	9	Claire Slaughter         	                         									1	0			1	0	1	0
3		ARK  	D	1	Morgan Cross             	Tatum Rice               	5	2											5	2	5	2
3		ARK  	D	2	Lauren Alter             	Indianna Spink           			3	5									3	5	3	5
3		ARK  	D	3	Kelly Keller             	Jackie Carr              					2	3							2	3	2	3
3		ARK  	D	4	Laura Rijkers            	Presley Southerland      													0	0	0	0
52		AUB  	S	1	Selin Ovunc              	                         	8	9											8	9	13	10
52		AUB  	S	2	Carolyn Ansari           	                         			1	0	11	3							12	3	14	10
52		AUB  	S	3	Yu Chen                  	                         			5	9	0	2							5	11	12	13
52		AUB  	S	4	Georgie Axon             	                         					1	0	15	3					16	3	22	6
52		AUB  	S	5	Adeline Flach            	                         									4	5	7	2	11	7	14	10
52		AUB  	S	6	Anastasia Astakhova      	                         											2	5	2	5	2	5
52		AUB  	S	7	Shir Azran               	                         													0	0	3	6
52		AUB  	S	8	Maddie Meredith          	                         													0	0	0	0
52		AUB  	D	1	Georgie Axon             	Adeline Flach            	2	4	8	4									10	8	14	10
52		AUB  	D	2	Selin Ovunc              	Carolyn Ansari           			3	4									3	4	4	6
52		AUB  	D	3	Yu Chen                  	Anastasia Astakhova      					4	3							4	3	4	3
52		AUB  	D	4	Shir Azran               	Maddie Meredith          													0	0	0	0
61		AZST 	S	1	Ilze Hattingh            	                         	10	7											10	7	11	7
61		AZST 	S	2	Sammi Hampton            	                         			6	8									6	8	6	8
61		AZST 	S	3	Lauryn John-Baptiste     	                         					11	6							11	6	11	6
61		AZST 	S	4	Giulia Morlet            	                         			1	0			8	5					9	5	10	5
61		AZST 	S	5	Marianna Argyrokastriti  	                         					1	0	2	1	11	4			14	5	15	5
61		AZST 	S	6	Domenika Turkovic        	                         							2	0	2	1	4	5	8	6	9	6
61		AZST 	S	7	Cali Jankowski           	                         									1	0	4	2	5	2	6	2
61		AZST 	S	8	Tereza Kolarova          	                         									1	0	3	1	4	1	4	2
61		AZST 	S	9	Sa�a Klanecek            	                         													0	0	0	0
61		AZST 	S	10	Alina Mukhortova         	                         													0	0	0	0
61		AZST 	S	11	Natasha Hill             	                         													0	0	0	0
61		AZST 	D	1	Ilze Hattingh            	Lauryn John-Baptiste     	7	9											7	9	7	9
61		AZST 	D	2	Sammi Hampton            	Marianna Argyrokastriti  			4	4	9	0							13	4	13	4
61		AZST 	D	3	Giulia Morlet            	Tereza Kolarova          			5	0	3	2							8	2	8	2
61		AZST 	D	4	Cali Jankowski           	Domenika Turkovic        													0	0	0	1
59		BALL 	S	1	Emma Peeler              	                         	10	10											10	10	10	10
59		BALL 	S	2	Jessica Braun            	                         	1	0	6	5	6	2							13	7	13	7
59		BALL 	S	3	Mariya Polishchuk        	                         	1	0	4	5	8	1	1	0					14	6	14	6
59		BALL 	S	4	Rebecca Herrington       	                         			1	0	1	1	7	2	5	3			14	6	14	6
59		BALL 	S	5	Amy Kaplan               	                         					1	2	7	3	4	2			12	7	12	7
59		BALL 	S	6	Livia Lukacs             	                         							1	0	1	1	6	2	8	3	8	3
59		BALL 	S	7	Silvia Martinez          	                         					1	0	1	0	2	0	9	2	13	2	13	2
59		BALL 	S	8	Emily Desai              	                         									2	1			2	1	2	1
59		BALL 	S	9	Victoria Sec             	                         											2	0	2	0	2	0
59		BALL 	D	1	Amy Kaplan               	Emma Peeler              	9	3	0	1									9	4	9	3
59		BALL 	D	2	Jessica Braun            	Mariya Polishchuk        					2	0							2	0	2	0
59		BALL 	D	3	Victoria Sec             	Livia Lukacs             			5	0	6	0							11	0	11	0
59		BALL 	D	4	Becca Herrington         	Silvia Martinez or Emily Desai													0	0	0	0
14		BAMA 	S	1	Loudmilla Bencheikh      	                         	2	5											2	5	2	5
14		BAMA 	S	2	Alba Cortina Pou         	                         			3	2	8	0	4	2					15	4	15	7
14		BAMA 	S	3	Anna Parkhomenko         	                         					0	6	7	1	4	0			11	7	15	11
14		BAMA 	S	4	Anne Marie Hiser         	                         					1	1	4	0	8	7			13	8	17	10
14		BAMA 	S	5	Sydney Riley             	                         									2	0	10	7	12	7	14	13
14		BAMA 	S	6	Sydney Orefice           	                         											2	0	2	0	2	5
14		BAMA 	D	1	Anne Marie Hiser         	Sydney Riley             	5	1	9	2									14	3	14	8
14		BAMA 	D	2	Alba Cortina Pou         	Anna Parkhomenko         					8	4							8	4	9	4
14		BAMA 	D	3	Loudmilla Bencheikh      	Sydney Orefice           													0	0	0	0
23		BU   	S	1	Victoria Carlsten        	                         	2	2	0	1	1	0							3	3	3	3
23		BU   	S	2	Kaitlin Tan              	                         			3	0	2	0							5	0	5	0
23		BU   	S	3	Erica Di Battista        	                         	1	0	2	0	1	1							4	1	4	1
23		BU   	S	4	Emily Kim                	                         	2	1	1	0	1	0	2	1					6	2	6	2
23		BU   	S	5	Lily Burchell            	                         			1	0	1	0	0	1	4	0			6	1	6	1
23		BU   	S	6	Katya Martens            	                         							2	0	2	0			4	0	4	0
23		BU   	S	7	Shelly Yaloz             	                         					2	0					0	2	2	2	2	2
23		BU   	S	8	Stephanie Nguyen         	                         							1	0			1	0	2	0	2	0
23		BU   	S	9	Alex Angyalosy           	                         											1	0	1	0	1	0
23		BU   	S	10	Mia Wallace              	                         											2	0	2	0	2	0
23		BU   	S	11	Dani Blaser              	                         							1	0	1	0			2	0	2	0
23		BU   	D	1	Emily Kim                	Lily Burchell            	3	1											3	1	3	1
23		BU   	D	2	Victoria Carlsten        	Erica DiBattista         			2	1									2	1	2	1
23		BU   	D	3	Kaitlin Tan              	Shelly Yaloz             					4	0							4	0	4	0
23		BU   	D	4	Dani Blaser              	Mia Wallace              					1	0							1	0	1	0
10		CHSO 	S	1	madalina man             	                         	9	6											9	6	9	6
10		CHSO 	S	2	luiza fullana            	                         			7	6									7	6	7	6
10		CHSO 	S	3	khyanna singh            	                         					8	8							8	8	8	8
10		CHSO 	S	4	zoe cauthen              	                         							9	5					9	5	9	5
10		CHSO 	S	5	michelle schmitz         	                         									9	8			9	8	9	8
10		CHSO 	S	6	tiffany pyrtiz           	                         											6	7	6	7	6	7
10		CHSO 	S	7	tyler kirk               	                         											0	4	0	4	0	4
10		CHSO 	D	1	madalina man             	khyanna singh            	9	5											9	5	9	5
10		CHSO 	D	2	zoe cauthen              	tiffany pyrtiz           			10	5									10	5	10	5
10		CHSO 	D	3	luiza fullana            	michelle schmitz         					7	7							7	7	7	7
63		DEN  	S	1	Anna Riedmiller          	                         	6	0	8	1									14	1	14	1
63		DEN  	S	2	Taylor Melville          	                         	4	4	5	0									9	4	9	4
63		DEN  	S	3	Britt Pursell            	                         			1	0	11	3							12	3	12	3
63		DEN  	S	4	Camille Verden-Anderson  	                         					2	0	3	1	2	1	1	0	8	2	8	2
63		DEN  	S	5	Hada Chang               	                         							1	0	5	2	1	0	7	2	7	2
63		DEN  	S	6	Tatum Burger             	                         							4	4	2	2	2	0	8	6	8	6
63		DEN  	S	7	Toni Nelson              	                         											10	2	10	2	10	2
63		DEN  	D	1	Britt Pursell            	Camille Verden-Anderson  	6	1	5	1									11	2	11	2
63		DEN  	D	2	Anna Riedmiller          	Hada Chang               			5	1									5	1	5	1
63		DEN  	D	3	Toni Nelson              	Taylor Melville          			1	0	5	0							6	0	6	0
55		DRKE 	S	1	Elizaveta Petushkova     	                         	10	8											10	8	10	8
55		DRKE 	S	2	Daria Walczak            	                         			6	7	2	2							8	9	8	9
55		DRKE 	S	3	Ines Stephani            	                         					5	1	7	3					12	4	12	4
55		DRKE 	S	4	Maria Tatarnikova        	                         			1	3	4	3	7	0					12	6	12	6
55		DRKE 	S	5	Darinka Stepan           	                         									9	4	1	1	10	5	10	5
