seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
 5	UVA  	Ammar Alhaqbani                     	S	10	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
 5	UVA  	Jefferson Dockter                   	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
 5	UVA  	Spencer Bozsik                      	S	12	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
 5	UVA  	Ethan Moszkowski                    	S	13	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
 5	UVA  	Jerome Romualdez                    	S	14	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
 5	UVA  	Soderlund/Woodall                   	D	 1	 9	 8	  	  	  	 	  	 	  	  	  	  	 9	 8	 9	 8	453365	486442
 5	UVA  	Goetz/Rodesch                       	D	 2	  	  	10	5 	  	 	  	 	  	  	  	  	10	 5	10	 5	486444	564151
 5	UVA  	von der Schulenburg/de la Torre     	D	 3	 0	 1	3 	0 	12	3	  	 	  	  	  	  	15	 4	15	 4	564166	564150
 5	UVA  	Lord/Ross                           	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	447059
 6	UNC  	William Blumberg                    	S	 1	 8	 3	  	  	  	 	  	 	  	  	  	  	 8	 3	 9	 3	390976	      
 6	UNC  	Rinky Hijikata                      	S	 2	 3	 0	4 	2 	2 	0	  	 	  	  	  	  	 9	 2	11	 2	514358	      
 6	UNC  	Benjamin Sigouin                    	S	 3	 1	 3	5 	4 	3 	2	  	 	  	  	  	  	 9	 9	 9	 9	451826	      
 6	UNC  	Brian Cernoch                       	S	 4	  	  	4 	0 	8 	3	5 	2	  	  	  	  	17	 5	17	 5	491254	      
 6	UNC  	Josh Peck                           	S	 5	  	  	  	  	3 	1	2 	1	3 	1 	  	  	 8	 3	 8	 3	440447	      
 6	UNC  	Simon Soendergaard                  	S	 6	  	  	  	  	  	 	  	 	4 	2 	6 	3 	10	 5	11	 6	453379	      
 6	UNC  	Logan Zapp                          	S	 7	  	  	  	  	  	 	  	 	3 	2 	4 	1 	 7	 3	 8	 4	564155	      
 6	UNC  	Mac Kiger                           	S	 8	  	  	  	  	  	 	  	 	3 	1 	5 	5 	 8	 6	 8	 6	421782	      
 6	UNC  	Anuj Watane                         	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 3	 2	514359	      
 6	UNC  	Adam Neff                           	S	10	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 1	 3	564156	      
 6	UNC  	peter Murphy                        	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 1	 1	564157	      
 6	UNC  	Mark Dillon                         	S	12	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 2	 2	517797	      
 6	UNC  	Blumberg/Cernoch                    	D	 1	12	 3	  	  	  	 	  	 	  	  	  	  	12	 3	12	 3	390976	491254
 6	UNC  	Kiger/Soendergaard                  	D	 2	 2	 2	8 	5 	  	 	  	 	  	  	  	  	10	 7	10	 7	421782	453379
 6	UNC  	Hijikata/Sigouin                    	D	 3	  	  	2 	2 	3 	3	  	 	  	  	  	  	 5	 5	 5	 5	514358	451826
 6	UNC  	Murphy/Peck                         	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	564157	440447
 7	TCU  	Alastair Gray                       	S	 1	 6	 4	7 	3 	  	 	  	 	  	  	  	  	13	 7	13	 7	411457	      
 7	TCU  	Luc Fomba                           	S	 2	 5	 3	7 	3 	  	 	  	 	  	  	  	  	12	 6	12	 6	489297	      
 7	TCU  	Sander Jong                         	S	 3	  	  	  	  	10	5	0 	2	  	  	  	  	10	 7	11	 8	489298	      
 7	TCU  	Jake Fearnley                       	S	 4	  	  	  	  	  	 	4 	2	2 	0 	2 	1 	 8	 3	 8	 3	514378	      
 7	TCU  	Tomas Jirousek                      	S	 5	  	  	  	  	0 	2	5 	2	1 	1 	  	  	 6	 5	 7	 6	521012	      
 7	TCU  	Tadeas Paroulek                     	S	 6	  	  	  	  	  	 	0 	1	6 	7 	1 	3 	 7	11	 7	12	516558	      
 7	TCU  	Juan Martin                         	S	 7	  	  	  	  	  	 	  	 	1 	2 	6 	1 	 7	 3	 8	 4	489299	      
 7	TCU  	Bertus Kruger                       	S	 8	  	  	  	  	  	 	  	 	1 	1 	1 	1 	 2	 2	 2	 2	423670	      
 7	TCU  	Max Kurzban                         	S	 9	  	  	  	  	  	 	  	 	  	  	0 	1 	 0	 1	 0	 3	424063	      
 7	TCU  	Gray/Fomba                          	D	 1	10	 6	1 	0 	  	 	  	 	  	  	  	  	11	 6	13	 6	411457	489297
 7	TCU  	Jong/Paroulek                       	D	 2	 0	 1	8 	1 	2 	1	  	 	  	  	  	  	10	 3	11	 4	489298	516558
 7	TCU  	Kruger/Fearnley                     	D	 3	  	  	2 	2 	2 	1	  	 	  	  	  	  	 4	 3	 4	 3	423670	514378
 7	TCU  	Kurzban/Jirousek                    	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	424063	521012
 8	A&M  	Valentin Vacherot                   	S	 1	13	 2	3 	1 	  	 	  	 	  	  	  	  	16	 3	21	 5	459505	      
 8	A&M  	Hady Habib                          	S	 2	 3	 1	7 	3 	  	 	  	 	  	  	  	  	10	 4	15	 5	412687	      
 8	A&M  	Juan Carlos Aguilar                 	S	 3	  	  	4 	2 	6 	6	  	 	  	  	  	  	10	 8	15	10	384588	      
