seed	team	name
  	STAN 	Neel Rajesh
  	STAN 	Rajesh
  	STAN 	Rotsaert
  	STAN 	Sah
  	STAN 	Timothy Sah
  	STAN 	Tomas Kopczynski
  	STAN 	Tristan Boyer
  	STAN 	William Genesen
  	TAMCC	B.Delgado
  	TAMCC	Borja Delgado
  	TAMCC	C. Berna Ruiz
  	TAMCC	C. Nguyen
  	TAMCC	Carlos Berna Ruiz
  	TAMCC	Chad Nguyen
  	TAMCC	Ernesto Mealla
  	TAMCC	G.Castaneda
  	TAMCC	Guillermo Castaneda
  	TAMCC	K.Yamanaka
  	TAMCC	Kyohei Yamanaka
  	TAMCC	N. Schwartz
  	TAMCC	Nathan Schwartz
  	TAMCC	P. Lorieul
  	TAMCC	Pascal Loriel
  	TAMCC	R. Ata
  	TAMCC	Ryuya Ata
  	TTU  	Arevalo
  	TTU  	Azoides
  	TTU  	Bloss
  	TTU  	Collier
  	TTU  	Dimi Azoides
  	TTU  	Fran Vittar
  	TTU  	Franco Ribero
  	TTU  	Ilgiz Valiev
  	TTU  	Isaac Arevalo
  	TTU  	Justin Bloss
  	TTU  	Parker Wynn
  	TTU  	Reed Collier
  	TTU  	Ribero
  	TTU  	Valiev
  	TTU  	Vittar
  	TTU  	Wynn
  	TULN 	Akos Kotorman
  	TULN 	Benji Jacobson
  	TULN 	Billy Suarez
  	TULN 	Charlie Barry
  	TULN 	Ewan Moore
  	TULN 	Fynn Kuenkler
  	TULN 	Hamish Stewart
  	TULN 	Luis Erlenbusch
  	TULN 	Rafael de Alba
  	UCLA 	Ben Goldberg
  	UCLA 	Bryce Pereira
  	UCLA 	Connor Hance
  	UCLA 	Connor Rapp
  	UCLA 	Drew Baird
  	UCLA 	Eric Hahn
  	UCLA 	Govind Nanda
  	UCLA 	Mathew Tsolakyan
  	UCLA 	Max Wild
  	UCLA 	Patrick Zahraj
  	UCLA 	Roscoe Bellamy
  	UCLA 	Sam Feit
  	UCLA 	Stefan Leustian
  	UCSB 	Alejandro Vedri
  	UCSB 	Brady
  	UCSB 	Guillin
  	UCSB 	Joey Rotheram
  	UCSB 	Joseph Guillin
  	UCSB 	Josh Williams
  	UCSB 	Kai Brady
  	UCSB 	Krustev
  	UCSB 	Masjuan
  	UCSB 	Pablo Masjuan
  	UCSB 	Rotheram
  	UCSB 	Stefano Tsorotiotis
  	UCSB 	Tsorotiotis
  	UCSB 	Vedri
  	UCSB 	Victor Krustev
  	UCSB 	Williams
  	UNCW 	Bekhzod Rasamatov
  	UNCW 	Bruno Caula
  	UNCW 	Daniel Groom
